# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
ORV,G,B.J. Armstrong,26,CHI,6,515,0.012,1.0,0.0,1.0,82,33.8,14.8,2.1,3.9,1.0,0.1,0.476,0.444,0.855,7.5,0.13,1993
ORV,G,Dan Majerle,28,PHO,6,515,0.012,1.0,0.0,1.0,80,40.1,16.5,4.4,3.4,1.6,0.5,0.418,0.382,0.739,7.3,0.109,1993
ORV,G,Steve Smith,24,MIA,6,515,0.012,1.0,0.0,1.0,78,35.6,17.3,4.5,5.1,1.1,0.4,0.456,0.347,0.835,8.1,0.141,1993
ORV,C,Dikembe Mutombo,27,DEN,5,515,0.01,1.0,0.0,0.0,82,34.8,12.0,11.8,1.5,0.7,4.1,0.569,0.0,0.583,9.4,0.158,1993
ORV,F,Glen Rice,26,MIA,5,515,0.01,0.0,,,81,37.0,21.1,5.4,2.3,1.4,0.4,0.467,0.382,0.88,10.2,0.163,1993
ORV,F,Clifford Robinson,27,POR,5,515,0.01,0.0,,,82,34.8,20.1,6.7,1.9,1.4,1.4,0.457,0.245,0.765,7.5,0.126,1993
ORV,F,Stacey Augmon,25,ATL,4,515,0.008,0.0,,,82,31.8,14.8,4.8,2.3,1.8,0.5,0.51,0.143,0.764,9.7,0.179,1993
ORV,G,Kendall Gill,25,SEA,4,515,0.008,0.0,,,79,30.8,14.1,3.4,3.5,1.9,0.4,0.443,0.317,0.782,6.7,0.132,1993
ORV,G,Nate McMillan,29,SEA,3,515,0.006,0.0,,,73,25.8,6.0,3.9,5.3,3.0,0.3,0.447,0.391,0.564,6.0,0.154,1993
ORV,F,Detlef Schrempf,31,SEA,3,515,0.006,0.0,,,81,33.7,15.0,5.6,3.4,0.9,0.1,0.493,0.324,0.769,8.4,0.148,1993
ORV,G,Muggsy Bogues,29,CHH,2,515,0.004,0.0,0.0,2.0,77,35.7,10.8,4.1,10.1,1.7,0.0,0.471,0.167,0.806,6.4,0.112,1993
ORV,G,Anfernee Hardaway,22,ORL,2,515,0.004,0.0,0.0,2.0,82,36.8,16.0,5.4,6.6,2.3,0.6,0.466,0.267,0.742,7.1,0.112,1993
ORV,F,Tom Gugliotta,24,WSB,1,515,0.002,0.0,0.0,1.0,78,35.8,17.1,9.3,3.5,2.2,0.7,0.466,0.27,0.685,3.8,0.066,1993
ORV,G,Ron Harper,30,LAC,1,515,0.002,0.0,0.0,1.0,75,38.1,20.1,6.1,4.6,1.9,0.7,0.426,0.301,0.715,2.9,0.049,1993
ORV,G,Jeff Hornacek,30,TOT,1,515,0.002,0.0,0.0,1.0,80,35.3,15.9,3.5,5.2,1.6,0.2,0.47,0.337,0.878,6.9,0.117,1993
ORV,G,Jim Jackson,23,DAL,1,515,0.002,0.0,0.0,1.0,82,37.4,19.2,4.7,4.6,1.1,0.3,0.445,0.283,0.821,0.6,0.009,1993
ORV,F,Derrick McKey,27,IND,1,515,0.002,0.0,0.0,1.0,76,34.4,12.0,5.3,4.3,1.5,0.6,0.5,0.29,0.756,5.0,0.092,1993
ORV,G,John Starks,28,NYK,1,515,0.002,0.0,0.0,1.0,59,34.9,19.0,3.1,5.9,1.6,0.1,0.42,0.335,0.754,5.8,0.135,1993
ORV,F,Clarence Weatherspoon,23,PHI,1,515,0.002,0.0,0.0,1.0,82,38.4,18.4,10.1,2.3,1.2,1.4,0.483,0.235,0.693,6.0,0.091,1993
ORV,F,Chris Webber,20,GSW,1,515,0.002,0.0,0.0,1.0,76,32.1,17.5,9.1,3.6,1.2,2.2,0.552,0.0,0.532,7.8,0.154,1993
1st,F,Karl Malone,31,UTA,519,525,0.989,102.0,,,82,38.1,26.7,10.6,3.5,1.6,1.0,0.536,0.268,0.742,13.8,0.212,1994
1st,C,David Robinson,29,SAS,479,525,0.912,86.0,,,81,38.0,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273,1994
1st,F,Scottie Pippen,29,CHI,451,525,0.859,73.0,,,79,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8,0.188,1994
1st,G,John Stockton,32,UTA,447,525,0.851,73.0,,,82,35.0,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9,0.233,1994
1st,G,Anfernee Hardaway,23,ORL,394,525,0.75,55.0,,,77,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7,0.177,1994
2nd,F,Charles Barkley,31,PHO,363,525,0.691,31.0,,,68,35.0,23.0,11.1,4.1,1.6,0.7,0.486,0.338,0.748,10.6,0.214,1994
2nd,G,Gary Payton,26,SEA,342,525,0.651,40.0,,,82,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7,0.187,1994
2nd,C,Shaquille O'Neal,22,ORL,311,525,0.592,15.0,,,79,37.0,29.3,11.4,2.7,0.9,2.4,0.583,0.0,0.533,14.0,0.23,1994
2nd,G,Mitch Richmond,29,SAC,253,525,0.482,25.0,,,82,38.7,22.8,4.4,3.8,1.1,0.4,0.446,0.368,0.843,8.0,0.12,1994
2nd,F,Shawn Kemp,25,SEA,161,525,0.307,0.0,,,82,32.7,18.7,10.9,1.8,1.2,1.5,0.547,0.286,0.749,10.6,0.19,1994
3rd,G,Reggie Miller,29,IND,158,525,0.301,2.0,,,81,32.9,19.6,2.6,3.0,1.2,0.2,0.462,0.415,0.897,11.4,0.204,1994
3rd,F,Dennis Rodman,33,SAS,113,525,0.215,1.0,,,49,32.0,7.1,16.8,2.0,0.6,0.5,0.571,0.0,0.676,5.8,0.178,1994
3rd,C,Hakeem Olajuwon,32,HOU,102,525,0.194,3.0,,,72,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,10.7,0.181,1994
3rd,F,Detlef Schrempf,32,SEA,95,525,0.181,1.0,,,82,35.2,19.2,6.2,3.8,1.1,0.4,0.523,0.514,0.839,12.9,0.215,1994
3rd,G,Clyde Drexler,32,TOT,73,525,0.139,4.0,,,76,35.9,21.8,6.3,4.8,1.8,0.6,0.461,0.36,0.824,11.7,0.206,1994
ORV,F,Jamal Mashburn,22,DAL,64,525,0.122,2.0,,,80,37.3,24.1,4.1,3.7,1.0,0.1,0.436,0.328,0.739,6.3,0.102,1994
ORV,C,Patrick Ewing,32,NYK,51,525,0.097,1.0,,,79,37.0,23.9,11.0,2.7,0.9,2.0,0.503,0.286,0.75,9.6,0.157,1994
ORV,G,Michael Jordan,31,CHI,44,525,0.084,7.0,,,17,39.3,26.9,6.9,5.3,1.8,0.8,0.411,0.5,0.801,2.3,0.167,1994
ORV,G,Jim Jackson,24,DAL,35,525,0.067,2.0,,,51,38.9,25.7,5.1,3.7,0.5,0.2,0.472,0.318,0.805,4.9,0.118,1994
ORV,G,Dana Barros,27,PHI,32,525,0.061,0.0,,,82,40.5,20.6,3.3,7.5,1.8,0.0,0.49,0.464,0.899,12.7,0.183,1994
ORV,F,Larry Johnson,25,CHH,26,525,0.05,0.0,,,81,39.9,18.8,7.2,4.6,1.0,0.3,0.48,0.386,0.774,8.5,0.126,1994
ORV,F,Cedric Ceballos,25,LAL,20,525,0.038,0.0,,,58,35.0,21.7,8.0,1.8,1.0,0.3,0.509,0.397,0.716,5.2,0.123,1994
ORV,F,Glen Rice,27,MIA,18,525,0.034,0.0,,,82,36.8,22.3,4.6,2.3,1.4,0.2,0.475,0.41,0.855,10.0,0.159,1994
ORV,F,Horace Grant,29,ORL,17,525,0.032,0.0,,,74,36.4,12.8,9.7,2.3,1.0,1.2,0.567,0.0,0.692,9.5,0.169,1994
ORV,F,Vin Baker,23,MIL,16,525,0.03,0.0,,,82,41.0,17.7,10.3,3.6,1.0,1.4,0.483,0.292,0.593,5.8,0.083,1994
ORV,G,Nick Van Exel,23,LAL,13,525,0.025,0.0,,,80,36.8,16.9,2.8,8.3,1.2,0.1,0.42,0.358,0.783,6.4,0.104,1994
ORV,G,Joe Dumars,31,DET,11,525,0.021,1.0,,,67,38.0,18.1,2.4,5.5,1.1,0.1,0.43,0.305,0.805,1.7,0.032,1994
ORV,G,Jason Kidd,21,DAL,10,525,0.019,0.0,,,79,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066,1994
ORV,G,Tim Hardaway,28,GSW,9,525,0.017,0.0,,,62,37.4,20.1,3.1,9.3,1.4,0.2,0.427,0.378,0.76,5.1,0.105,1994
ORV,G,Muggsy Bogues,30,CHH,7,525,0.013,0.0,,,78,33.7,11.1,3.3,8.7,1.3,0.0,0.477,0.2,0.889,8.6,0.157,1994
ORV,F,Sean Elliott,26,SAS,7,525,0.013,0.0,,,81,35.3,18.1,3.5,2.5,1.0,0.5,0.468,0.408,0.807,8.7,0.147,1994
ORV,F,Tyrone Hill,26,CLE,7,525,0.013,0.0,,,70,34.2,13.8,10.9,0.8,0.8,0.6,0.504,0.0,0.662,6.9,0.138,1994
ORV,G,Latrell Sprewell,24,GSW,6,525,0.011,1.0,,,69,40.2,20.6,3.7,4.0,1.6,0.7,0.418,0.276,0.781,2.0,0.034,1994
ORV,G,Mookie Blaylock,27,ATL,5,525,0.01,0.0,,,80,38.4,17.2,4.9,7.7,2.5,0.3,0.425,0.359,0.729,9.4,0.147,1994
ORV,F,Glenn Robinson,22,MIL,5,525,0.01,0.0,,,80,37.0,21.9,6.4,2.5,1.4,0.3,0.451,0.321,0.796,3.2,0.053,1994
ORV,F,Grant Hill,22,DET,4,525,0.008,0.0,,,70,38.3,19.9,6.4,5.0,1.8,0.9,0.477,0.148,0.732,5.4,0.097,1994
ORV,G,Jeff Hornacek,31,UTA,4,525,0.008,0.0,,,81,33.3,16.5,2.6,4.3,1.6,0.2,0.514,0.406,0.882,10.1,0.179,1994
ORV,G,Nick Anderson,27,ORL,3,525,0.006,0.0,,,76,34.1,15.8,4.4,4.1,1.6,0.3,0.476,0.415,0.704,8.3,0.154,1994
ORV,G,B.J. Armstrong,27,CHI,3,525,0.006,0.0,,,82,31.4,14.0,2.3,3.0,1.0,0.1,0.468,0.427,0.884,8.1,0.152,1994
ORV,F,Dale Davis,25,IND,3,525,0.006,0.0,,,74,31.7,10.6,9.4,0.8,1.0,1.6,0.563,0.0,0.533,6.8,0.14,1994
ORV,G,Mark Price,30,CLE,3,525,0.006,0.0,,,48,28.6,15.8,2.3,7.0,0.7,0.1,0.413,0.407,0.914,4.2,0.147,1994
ORV,G,Spud Webb,31,SAC,3,525,0.006,0.0,,,76,32.3,11.6,2.3,6.2,1.0,0.1,0.438,0.331,0.934,5.1,0.099,1994
ORV,G,Avery Johnson,29,SAS,2,525,0.004,0.0,0.0,2.0,82,36.7,13.4,2.5,8.2,1.4,0.2,0.519,0.136,0.685,8.0,0.128,1994
ORV,C,Alonzo Mourning,24,CHH,2,525,0.004,0.0,0.0,2.0,77,38.2,21.3,9.9,1.4,0.6,2.9,0.519,0.324,0.761,9.4,0.153,1994
ORV,F,Stacey Augmon,26,ATL,1,525,0.002,0.0,0.0,1.0,76,31.1,13.9,4.8,2.6,1.3,0.6,0.453,0.269,0.728,5.1,0.103,1994
ORV,F,Danny Manning,28,PHO,1,525,0.002,0.0,0.0,1.0,46,32.8,17.9,6.0,3.3,0.9,1.2,0.547,0.286,0.673,3.4,0.109,1994
ORV,G,John Starks,29,NYK,1,525,0.002,0.0,0.0,1.0,80,34.1,15.3,2.7,5.1,1.2,0.1,0.395,0.355,0.737,6.2,0.109,1994
1st,G,Michael Jordan,32,CHI,565,565,1.0,113.0,0.0,0.0,82,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317,1995
1st,F,Scottie Pippen,30,CHI,517,565,0.915,91.0,,,77,36.7,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,12.3,0.209,1995
1st,G,Anfernee Hardaway,24,ORL,516,565,0.913,90.0,,,82,36.8,21.7,4.3,7.1,2.0,0.5,0.513,0.314,0.767,14.4,0.229,1995
1st,F,Karl Malone,32,UTA,509,565,0.901,89.0,,,82,38.0,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,15.1,0.233,1995
1st,C,David Robinson,30,SAS,442,565,0.782,65.0,,,82,36.8,25.0,12.2,3.0,1.4,3.3,0.516,0.333,0.761,18.3,0.29,1995
2nd,C,Hakeem Olajuwon,33,HOU,378,565,0.669,40.0,,,72,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,9.7,0.166,1995
2nd,F,Shawn Kemp,26,SEA,306,565,0.542,18.0,,,79,33.3,19.6,11.4,2.2,1.2,1.6,0.561,0.417,0.742,11.2,0.205,1995
2nd,G,Gary Payton,27,SEA,294,565,0.52,14.0,,,81,39.0,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,0.174,1995
2nd,F,Grant Hill,23,DET,266,565,0.471,14.0,,,80,40.8,20.2,9.8,6.9,1.3,0.6,0.462,0.192,0.751,11.7,0.172,1995
2nd,G,John Stockton,33,UTA,258,565,0.457,7.0,,,82,35.5,14.7,2.8,11.2,1.7,0.2,0.538,0.422,0.83,13.0,0.214,1995
3rd,F,Charles Barkley,32,PHO,236,565,0.418,10.0,,,71,37.1,23.2,11.6,3.7,1.6,0.8,0.5,0.28,0.777,10.5,0.191,1995
3rd,C,Shaquille O'Neal,23,ORL,185,565,0.327,8.0,,,54,36.0,26.6,11.0,2.9,0.6,2.1,0.573,0.5,0.487,6.9,0.171,1995
3rd,G,Mitch Richmond,30,SAC,167,565,0.296,1.0,,,81,36.4,23.1,3.3,3.1,1.5,0.2,0.447,0.437,0.866,9.3,0.151,1995
3rd,G,Reggie Miller,30,IND,90,565,0.159,0.0,,,76,34.5,21.1,2.8,3.3,1.0,0.2,0.473,0.41,0.863,10.3,0.188,1995
3rd,F,Juwan Howard,22,WSB,68,565,0.12,3.0,,,81,40.7,22.1,8.1,4.4,0.8,0.5,0.489,0.308,0.749,5.6,0.082,1995
ORV,F,Dennis Rodman,34,CHI,57,565,0.101,1.0,,,64,32.6,5.5,14.9,2.5,0.6,0.4,0.48,0.111,0.528,6.2,0.143,1995
ORV,G,Jason Kidd,22,DAL,43,565,0.076,1.0,,,81,37.5,16.6,6.8,9.7,2.2,0.3,0.381,0.336,0.692,4.3,0.068,1995
ORV,G,Rod Strickland,29,POR,33,565,0.058,0.0,,,67,37.7,18.7,4.4,9.6,1.4,0.2,0.46,0.342,0.652,7.1,0.136,1995
ORV,F,Sean Elliott,27,SAS,27,565,0.048,0.0,,,77,37.7,20.0,5.1,2.7,0.9,0.4,0.466,0.411,0.771,7.7,0.128,1995
ORV,G,Terrell Brandon,25,CLE,25,565,0.044,0.0,,,75,34.3,19.3,3.3,6.5,1.8,0.4,0.465,0.387,0.887,12.7,0.237,1995
ORV,F,Vin Baker,24,MIL,23,565,0.041,0.0,,,82,40.5,21.1,9.9,2.6,0.8,1.1,0.489,0.208,0.67,6.2,0.089,1995
ORV,G,Clyde Drexler,33,HOU,18,565,0.032,0.0,,,52,38.4,19.3,7.2,5.8,2.0,0.5,0.433,0.332,0.784,6.7,0.161,1995
ORV,F,Glen Rice,28,CHH,10,565,0.018,0.0,,,79,39.8,21.6,4.8,2.9,1.2,0.2,0.471,0.424,0.837,8.3,0.127,1995
ORV,F,Detlef Schrempf,33,SEA,9,565,0.016,0.0,,,63,34.9,17.1,5.2,4.4,0.9,0.1,0.486,0.408,0.776,8.2,0.179,1995
ORV,C,Alonzo Mourning,25,MIA,8,565,0.014,0.0,,,70,38.2,23.2,10.4,2.3,1.0,2.7,0.523,0.3,0.685,9.9,0.178,1995
ORV,F,Magic Johnson,36,LAL,7,565,0.012,0.0,,,32,29.9,14.6,5.7,6.9,0.8,0.4,0.466,0.379,0.856,3.6,0.181,1995
ORV,C,Patrick Ewing,33,NYK,3,565,0.005,0.0,,,76,36.6,22.5,10.6,2.1,0.9,2.4,0.466,0.143,0.761,6.8,0.116,1995
ORV,F,Horace Grant,30,ORL,3,565,0.005,0.0,,,63,36.3,13.4,9.2,2.7,1.0,1.2,0.513,0.167,0.734,8.0,0.169,1995
ORV,G,Allan Houston,24,DET,3,565,0.005,0.0,,,82,37.5,19.7,3.7,3.0,0.7,0.2,0.453,0.427,0.823,7.1,0.112,1995
ORV,F,Dennis Scott,27,ORL,3,565,0.005,0.0,,,82,37.1,17.5,3.8,3.0,1.1,0.4,0.44,0.425,0.82,8.8,0.138,1995
ORV,G,Latrell Sprewell,25,GSW,3,565,0.005,0.0,,,78,39.3,18.9,4.9,4.2,1.6,0.6,0.428,0.323,0.789,5.5,0.086,1995
ORV,F,Larry Johnson,26,CHH,2,565,0.004,0.0,0.0,2.0,81,40.4,20.5,8.4,4.4,0.7,0.5,0.476,0.366,0.757,10.1,0.149,1995
ORV,G,Mookie Blaylock,28,ATL,1,565,0.002,0.0,0.0,1.0,81,35.7,15.7,4.1,5.9,2.6,0.2,0.405,0.371,0.747,9.0,0.149,1995
ORV,F,Elden Campbell,27,LAL,1,565,0.002,0.0,0.0,1.0,82,32.9,13.9,7.6,2.2,1.1,2.6,0.503,0.0,0.713,8.2,0.147,1995
ORV,F,Cedric Ceballos,26,LAL,1,565,0.002,0.0,0.0,1.0,78,33.7,21.2,6.9,1.5,1.2,0.3,0.53,0.277,0.804,9.8,0.18,1995
ORV,G,Avery Johnson,30,SAS,1,565,0.002,0.0,0.0,1.0,82,37.6,13.1,2.5,9.6,1.5,0.3,0.494,0.194,0.721,9.1,0.141,1995
ORV,G,Kevin Johnson,29,PHO,1,565,0.002,0.0,0.0,1.0,56,35.8,18.7,3.9,9.2,1.5,0.2,0.507,0.368,0.859,8.2,0.195,1995
ORV,C,Dikembe Mutombo,29,DEN,1,565,0.002,0.0,0.0,1.0,74,36.7,11.0,11.8,1.5,0.5,4.5,0.499,0.0,0.695,7.6,0.134,1995
ORV,G,Bobby Phills,26,CLE,1,565,0.002,0.0,0.0,1.0,72,35.1,14.6,3.6,3.8,1.4,0.4,0.467,0.441,0.775,7.1,0.136,1995
ORV,F,Clifford Robinson,29,POR,1,565,0.002,0.0,0.0,1.0,78,38.2,21.1,5.7,2.4,1.1,0.9,0.423,0.378,0.664,8.0,0.13,1995
ORV,G,Damon Stoudamire,22,TOR,1,565,0.002,0.0,0.0,1.0,70,40.9,19.0,4.0,9.3,1.4,0.3,0.426,0.395,0.797,4.3,0.072,1995
ORV,G,Nick Van Exel,24,LAL,1,565,0.002,0.0,0.0,1.0,74,34.0,14.9,2.4,6.9,0.9,0.1,0.417,0.357,0.799,5.7,0.109,1995
ORV,F,Clarence Weatherspoon,25,PHI,1,565,0.002,0.0,0.0,1.0,78,39.7,16.7,9.7,2.0,1.4,1.4,0.484,0.0,0.746,5.8,0.089,1995
1st,G,Michael Jordan,33,CHI,575,575,1.0,115.0,0.0,0.0,82,37.9,29.6,5.9,4.3,1.7,0.5,0.486,0.374,0.833,18.3,0.283,1996
1st,F,Karl Malone,33,UTA,575,575,1.0,115.0,0.0,0.0,82,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0.0,0.755,16.7,0.268,1996
1st,C,Hakeem Olajuwon,34,HOU,514,575,0.894,89.0,,,78,36.6,23.2,9.2,3.0,1.5,2.2,0.51,0.313,0.787,9.1,0.154,1996
1st,F,Grant Hill,24,DET,483,575,0.84,76.0,,,80,39.3,21.4,9.0,7.3,1.8,0.6,0.496,0.303,0.711,14.6,0.223,1996
1st,G,Tim Hardaway,30,MIA,435,575,0.757,62.0,,,81,38.7,20.3,3.4,8.6,1.9,0.1,0.415,0.344,0.799,12.9,0.198,1996
2nd,G,Gary Payton,28,SEA,386,575,0.671,42.0,,,82,39.2,21.8,4.6,7.1,2.4,0.2,0.476,0.313,0.715,12.9,0.193,1996
2nd,F,Scottie Pippen,31,CHI,337,575,0.586,19.0,,,82,37.7,20.2,6.5,5.7,1.9,0.5,0.474,0.368,0.701,13.1,0.203,1996
2nd,C,Patrick Ewing,34,NYK,327,575,0.569,20.0,,,78,37.0,22.4,10.7,2.0,0.9,2.4,0.488,0.222,0.754,9.8,0.163,1996
2nd,F,Glen Rice,29,CHH,316,575,0.55,20.0,,,79,42.6,26.8,4.0,2.0,0.9,0.3,0.477,0.47,0.867,10.8,0.154,1996
2nd,G,Mitch Richmond,31,SAC,198,575,0.344,1.0,,,81,38.6,25.9,3.9,4.2,1.5,0.3,0.454,0.428,0.861,10.8,0.166,1996
3rd,G,John Stockton,34,UTA,142,575,0.247,6.0,,,82,35.3,14.4,2.8,10.5,2.0,0.2,0.548,0.422,0.846,13.6,0.226,1996
3rd,F,Anthony Mason,30,CHH,110,575,0.191,0.0,,,73,43.1,16.2,11.4,5.7,1.0,0.5,0.525,0.333,0.745,11.4,0.173,1996
3rd,C,Shaquille O'Neal,24,LAL,72,575,0.125,3.0,,,51,38.1,26.2,12.5,3.1,0.9,2.9,0.557,0.0,0.484,8.0,0.197,1996
3rd,G,Anfernee Hardaway,25,ORL,62,575,0.108,2.0,,,59,37.6,20.5,4.5,5.6,1.6,0.6,0.447,0.318,0.82,8.1,0.175,1996
3rd,F,Vin Baker,25,MIL,61,575,0.106,0.0,,,78,40.5,21.0,10.3,2.7,1.0,1.4,0.505,0.278,0.687,8.3,0.127,1996
ORV,C,Alonzo Mourning,26,MIA,67,575,0.117,0.0,,,66,35.2,19.8,9.9,1.6,0.8,2.9,0.534,0.111,0.642,8.4,0.174,1996
ORV,F,Tom Gugliotta,27,MIN,60,575,0.104,0.0,,,81,38.7,20.6,8.7,4.1,1.6,1.1,0.442,0.258,0.82,6.7,0.103,1996
ORV,G,Mookie Blaylock,29,ATL,57,575,0.099,1.0,,,78,39.2,17.4,5.3,5.9,2.7,0.3,0.432,0.366,0.753,12.5,0.197,1996
ORV,G,Kevin Johnson,30,PHO,57,575,0.099,1.0,,,70,38.0,20.1,3.6,9.3,1.5,0.2,0.496,0.441,0.852,11.7,0.211,1996
ORV,C,Dikembe Mutombo,30,ATL,55,575,0.096,3.0,,,80,37.2,13.3,11.6,1.4,0.6,3.3,0.527,,0.705,11.3,0.183,1996
ORV,F,Charles Barkley,33,HOU,47,575,0.082,0.0,,,53,37.9,19.2,13.5,4.7,1.3,0.5,0.484,0.283,0.694,9.4,0.224,1996
ORV,G,Latrell Sprewell,26,GSW,44,575,0.077,0.0,,,80,41.9,24.2,4.6,6.3,1.7,0.6,0.449,0.354,0.843,8.1,0.115,1996
ORV,G,Terrell Brandon,26,CLE,30,575,0.052,0.0,,,78,36.8,19.5,3.9,6.3,1.8,0.4,0.438,0.373,0.902,10.8,0.181,1996
ORV,F,Chris Webber,23,WSB,29,575,0.05,0.0,,,72,39.0,20.1,10.3,4.6,1.7,1.9,0.518,0.397,0.565,9.3,0.159,1996
ORV,G,Eddie Jones,25,LAL,25,575,0.043,0.0,,,80,37.5,17.2,4.1,3.4,2.4,0.6,0.438,0.391,0.819,9.6,0.154,1996
ORV,F,Christian Laettner,27,ATL,20,575,0.035,0.0,,,82,38.3,18.1,8.8,2.7,1.2,0.8,0.486,0.352,0.816,11.6,0.177,1996
ORV,G,Mark Jackson,31,TOT,11,575,0.019,0.0,,,82,37.2,9.9,4.8,11.4,1.2,0.1,0.426,0.371,0.789,6.1,0.097,1996
ORV,F,Shawn Kemp,27,SEA,11,575,0.019,0.0,,,81,34.0,18.7,10.0,1.9,1.5,1.0,0.51,0.364,0.742,10.0,0.174,1996
ORV,G,Steve Smith,27,ATL,11,575,0.019,0.0,,,72,39.1,20.1,3.3,4.2,0.9,0.3,0.429,0.335,0.847,9.1,0.154,1996
ORV,G,Reggie Miller,31,IND,9,575,0.016,0.0,,,81,36.6,21.6,3.5,3.4,0.9,0.3,0.444,0.427,0.88,12.3,0.2,1996
ORV,F,Dennis Rodman,35,CHI,9,575,0.016,0.0,,,55,35.4,5.7,16.1,3.1,0.6,0.3,0.448,0.263,0.568,6.0,0.148,1996
ORV,G,Damon Stoudamire,23,TOR,8,575,0.014,0.0,,,81,40.9,20.2,4.1,8.8,1.5,0.2,0.401,0.355,0.823,7.6,0.11,1996
ORV,G,Rod Strickland,30,WSB,7,575,0.012,0.0,,,82,36.5,17.2,4.1,8.9,1.7,0.2,0.466,0.169,0.738,8.8,0.141,1996
ORV,G,Kenny Anderson,26,POR,6,575,0.01,0.0,,,82,37.6,17.5,4.4,7.1,2.0,0.2,0.427,0.361,0.768,12.4,0.193,1996
ORV,F,Kevin Garnett,20,MIN,6,575,0.01,0.0,,,77,38.9,17.0,8.0,3.1,1.4,2.1,0.499,0.286,0.754,7.3,0.116,1996
ORV,G,Allen Iverson,21,PHI,3,575,0.005,0.0,,,76,40.1,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,4.1,0.065,1996
ORV,F,Loy Vaught,28,LAC,3,575,0.005,0.0,,,82,34.6,14.9,10.0,1.3,1.0,0.3,0.5,0.167,0.702,6.3,0.106,1996
ORV,G,Nick Van Exel,25,LAL,2,575,0.003,0.0,0.0,2.0,79,37.2,15.3,2.9,8.5,0.9,0.1,0.402,0.378,0.825,7.2,0.118,1996
ORV,G,Kendall Gill,28,NJN,1,575,0.002,0.0,0.0,1.0,82,39.0,21.8,6.1,4.0,1.9,0.6,0.443,0.336,0.797,8.8,0.132,1996
ORV,G,Jason Kidd,23,TOT,1,575,0.002,0.0,0.0,1.0,55,35.7,10.9,4.5,9.0,2.3,0.4,0.403,0.37,0.679,4.4,0.107,1996
ORV,F,Clifford Robinson,30,POR,1,575,0.002,0.0,0.0,1.0,81,38.0,15.1,4.0,3.2,1.2,0.8,0.426,0.346,0.696,6.6,0.103,1996
ORV,F,Glenn Robinson,24,MIL,1,575,0.002,0.0,0.0,1.0,80,38.9,21.1,6.3,3.1,1.3,0.9,0.465,0.35,0.791,4.7,0.072,1996
ORV,F,Antoine Walker,20,BOS,1,575,0.002,0.0,0.0,1.0,82,36.2,17.5,9.0,3.2,1.3,0.6,0.425,0.327,0.631,1.7,0.027,1996
1st,G,Michael Jordan,34,CHI,580,580,1.0,116.0,0.0,0.0,82,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,15.8,0.238,1997
1st,F,Karl Malone,34,UTA,580,580,1.0,116.0,0.0,0.0,81,37.4,27.0,10.3,3.9,1.2,0.9,0.53,0.333,0.761,16.4,0.259,1997
1st,G,Gary Payton,29,SEA,561,580,0.967,108.0,,,82,38.4,19.2,4.6,8.3,2.3,0.2,0.453,0.338,0.744,12.5,0.19,1997
1st,C,Shaquille O'Neal,25,LAL,544,580,0.938,103.0,,,60,36.3,28.3,11.4,2.4,0.7,2.4,0.584,,0.527,10.2,0.224,1997
1st,F,Tim Duncan,21,SAS,370,580,0.638,45.0,,,82,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0.0,0.662,12.8,0.192,1997
2nd,G,Tim Hardaway,31,MIA,345,580,0.595,2.0,,,81,37.4,18.9,3.7,8.3,1.7,0.2,0.431,0.351,0.781,11.7,0.185,1997
2nd,C,David Robinson,32,SAS,332,580,0.572,13.0,,,73,33.7,21.6,10.6,2.7,0.9,2.6,0.511,0.25,0.735,13.8,0.269,1997
2nd,F,Grant Hill,25,DET,290,580,0.5,22.0,,,81,40.7,21.1,7.7,6.8,1.8,0.7,0.452,0.143,0.74,10.2,0.149,1997
2nd,F,Vin Baker,26,SEA,269,580,0.464,10.0,,,82,35.9,19.2,8.0,1.9,1.1,1.0,0.542,0.143,0.591,10.4,0.169,1997
2nd,G,Rod Strickland,31,WAS,173,580,0.298,4.0,,,76,39.7,17.8,5.3,10.5,1.7,0.3,0.434,0.25,0.726,8.1,0.129,1997
